Date,Open,High,Low,Close,Volume
2014-07-02,240.66,242.33,227.07,229.42,8035072
2014-07-03,231.29,231.9,224.0,229.25,5166716
2014-07-07,227.5,229.78,220.4,222.66,5901080
2014-07-08,218.65,220.96,214.27,219.07,7846165
2014-07-09,221.27,224.22,219.21,223.06,4117729
2014-07-10,217.18,222.22,216.04,219.46,4865246
2014-07-11,220.61,221.6,217.6,218.13,3307113
2014-07-14,219.99,228.79,215.45,226.7,7208573
2014-07-15,226.73,227.65,218.1,219.58,5732031
2014-07-16,221.82,224.8,216.82,217.16,4051097
2014-07-17,216.16,220.55,213.6,215.4,4650956
2014-07-18,215.95,221.21,215.93,220.02,4260618
2014-07-21,217.25,223.21,216.72,220.54,3825251
2014-07-22,222.19,223.3,219.11,219.58,2732485
2014-07-23,220.01,224.75,219.43,222.49,3088731
2014-07-24,223.25,225.1,220.8,223.54,3248410
2014-07-25,222.72,226.97,221.75,223.57,3090383
2014-07-28,224.25,232.0,221.4,224.82,6517611
2014-07-29,226.61,228.3,224.86,225.01,3387187
2014-07-30,221.92,229.6,221.04,228.92,4927823
2014-07-31,229.26,231.4,221.5,223.3,7749058
2014-08-01,226.09,237.5,226.0,233.27,11898133
2014-08-04,234.38,240.5,233.27,238.52,5967406
2014-08-05,237.47,242.99,235.69,238.49,5388581
2014-08-06,238.9,251.42,238.58,248.93,9249265
2014-08-07,250.12,256.69,249.12,252.39,7478926
2014-08-08,251.16,251.76,246.5,248.13,5099061
2014-08-11,255.48,263.74,255.0,259.32,8101276
2014-08-12,258.08,260.3,254.58,259.96,6390412
2014-08-13,262.01,265.64,259.61,260.31,6932628
2014-08-14,262.49,263.0,258.54,261.38,4126634
2014-08-15,261.48,262.09,258.5,262.01,3867874
2014-08-18,263.25,267.26,259.75,259.94,5849231
2014-08-19,258.87,259.33,251.62,256.76,5340136
2014-08-20,254.67,258.74,253.0,255.71,3027863
2014-08-21,256.52,258.8,253.26,254.34,2919241
2014-08-22,254.54,256.95,252.61,256.78,2836959
2014-08-25,258.19,263.68,258.19,262.55,4318053
2014-08-26,264.98,265.5,261.66,261.74,3822572
2014-08-27,263.5,264.24,260.29,263.25,2990532
2014-08-28,261.89,264.48,261.64,263.86,2854737
2014-08-29,268.7,272.0,267.51,269.7,6453958
2014-09-02,275.5,284.89,274.3,284.12,9852351
2014-09-03,287.67,288.0,280.1,281.19,6779735
2014-09-04,284.01,291.42,280.4,286.04,8341749
2014-09-05,282.55,282.9,272.51,277.39,11176167
2014-09-08,277.62,284.88,277.52,282.11,5505040
2014-09-09,282.99,285.49,277.0,278.48,4567958
2014-09-10,279.5,281.41,273.66,281.1,3785988
2014-09-11,280.46,284.79,278.63,280.31,3768584
2014-09-12,280.5,282.39,277.0,279.2,3328302
2014-09-15,274.37,274.4,249.13,253.86,16464952
2014-09-16,255.15,262.46,252.42,260.74,8303972
2014-09-17,262.41,264.7,259.5,261.38,5179923
2014-09-18,263.36,265.6,262.32,263.82,3699314
2014-09-19,257.99,261.43,255.27,259.32,6811714
2014-09-22,255.0,256.02,244.71,250.03,8222963
2014-09-23,245.22,253.8,245.0,250.41,5660048
2014-09-24,251.12,252.84,247.04,252.14,3754376
2014-09-25,252.52,254.96,246.1,246.95,4843712
2014-09-26,248.25,249.73,246.07,246.6,3798841
2014-09-29,244.0,248.64,241.38,245.26,4854687
2014-09-30,246.92,247.65,240.12,242.68,4248127
2014-10-01,242.2,242.66,235.65,240.24,5946510
2014-10-02,250.2,252.79,245.36,251.42,9002001
2014-10-03,253.06,256.5,251.03,255.21,5408665
2014-10-06,259.13,262.49,257.8,260.62,7719055
2014-10-07,258.53,261.46,255.73,259.57,4491569
2014-10-08,260.1,262.88,252.64,259.28,5062615
2014-10-09,262.25,265.54,254.4,257.01,7361316
2014-10-10,244.64,245.89,235.2,236.91,12898275
2014-10-13,238.57,238.96,221.0,224.59,11276552
2014-10-14,228.25,232.47,223.0,227.06,7112339
2014-10-15,220.0,230.99,217.32,229.7,9151648
2014-10-16,219.72,229.92,219.1,226.35,5404565
2014-10-17,233.38,234.77,226.55,227.48,10551850
2014-10-20,226.72,232.4,225.51,230.47,3499686
2014-10-21,234.27,235.39,230.8,235.34,4130345
2014-10-22,233.19,237.39,230.56,231.1,4123397
2014-10-23,234.66,236.28,232.0,235.29,3499882
2014-10-24,236.27,237.8,231.2,235.24,3466927
2014-10-27,234.25,234.61,220.31,221.67,9553348
2014-10-28,229.6,244.6,228.25,242.77,10516297
2014-10-29,241.13,241.5,235.64,238.1,4967640
2014-10-30,238.14,240.5,235.06,238.66,3228371
2014-10-31,242.51,243.12,238.75,241.7,3775327
2014-11-03,243.0,247.56,241.32,242.59,4207268
2014-11-04,240.49,242.35,236.53,238.93,3682572
2014-11-05,241.0,241.36,230.53,230.97,9045925
2014-11-06,234.49,246.69,228.5,241.22,15354717
2014-11-07,242.19,242.84,237.2,240.2,5161023
2014-11-10,239.11,242.88,236.8,241.93,4577208
2014-11-11,242.55,251.82,242.0,251.08,7952565
2014-11-12,249.72,252.34,245.58,249.1,5870818
2014-11-13,250.62,255.75,250.25,251.7,6236036
2014-11-14,250.0,258.85,248.5,258.68,6101145
2014-11-17,257.49,259.0,252.02,253.98,4025695
2014-11-18,255.86,259.99,255.51,257.7,4474294
2014-11-19,250.61,251.88,245.6,247.74,7918486
2014-11-20,247.95,250.93,246.0,248.71,3587220
2014-11-21,252.21,252.78,242.17,242.78,7485059
2014-11-24,245.2,247.6,240.64,246.72,4789708
2014-11-25,247.35,249.72,246.09,248.09,3159804
2014-11-26,248.34,249.0,246.6,248.44,1981819
2014-11-28,245.35,246.69,242.52,244.52,2119688
2014-12-01,241.16,242.47,229.01,231.64,8619351
2014-12-02,234.57,234.88,228.0,231.43,5887046
2014-12-03,226.25,229.72,225.5,229.3,5307733
2014-12-04,228.6,230.9,227.81,228.28,3879208
2014-12-05,228.67,229.39,222.26,223.71,6063619
2014-12-08,221.54,224.86,212.34,214.36,9225619
2014-12-09,209.34,217.73,204.27,216.89,9431502
2014-12-10,214.13,216.77,207.7,209.84,7314139
2014-12-11,210.53,215.43,208.23,208.88,6694398
2014-12-12,204.82,211.68,204.5,207.0,7173782
2014-12-15,209.29,209.8,202.67,204.04,5218252
2014-12-16,200.89,203.68,195.37,197.81,8426105
2014-12-17,193.06,206.65,192.65,205.82,7367834
2014-12-18,212.38,218.44,211.8,218.26,7483349
2014-12-19,220.19,220.4,214.5,219.29,6910461
2014-12-22,220.0,224.06,218.26,222.6,4806917
2014-12-23,223.81,224.32,219.52,220.97,4513321
2014-12-24,219.77,222.5,219.25,222.26,1333518
2014-12-26,221.51,228.5,221.5,227.82,3327016
2014-12-29,226.9,227.91,224.02,225.71,2811828
2014-12-30,223.99,225.65,221.4,222.23,2903242
2014-12-31,223.09,225.68,222.25,222.41,2402097
2015-01-02,222.87,223.25,213.26,219.31,4764443
2015-01-05,214.55,216.5,207.16,210.09,5368477
2015-01-06,210.06,214.2,204.21,211.28,6261936
2015-01-07,213.35,214.78,209.78,210.95,2968390
2015-01-08,212.81,213.8,210.01,210.62,3442509
2015-01-09,208.92,209.98,204.96,206.66,4668295
2015-01-12,203.05,204.47,199.25,202.21,5950280
2015-01-13,203.32,207.61,200.91,204.25,4477320
2015-01-14,185.83,195.2,185.0,192.69,11551855
2015-01-15,194.49,195.75,190.0,191.87,5216524
2015-01-16,190.7,194.49,189.65,193.07,3603158
2015-01-20,193.87,194.12,187.04,191.93,4503182
2015-01-21,189.55,198.68,189.51,196.57,4153043
2015-01-22,197.0,203.24,195.2,201.62,4116905
2015-01-23,200.29,203.5,198.33,201.29,3442371
2015-01-26,201.83,208.62,201.05,206.55,3234522
2015-01-27,204.42,208.03,203.3,205.98,2781024
2015-01-28,206.11,206.37,198.42,199.37,3149606
2015-01-29,201.07,205.98,196.5,205.2,3548106
2015-01-30,203.96,207.47,203.0,203.6,3006959
2015-02-02,203.97,211.95,203.3,210.94,4149186
2015-02-03,213.22,220.37,211.27,218.36,4826244
2015-02-04,218.29,221.48,216.8,218.55,3305377
2015-02-05,219.88,225.48,219.64,220.99,3522947
2015-02-06,222.0,223.4,216.5,217.36,3243931
2015-02-09,215.38,217.93,211.99,217.48,3472423
2015-02-10,217.55,220.5,215.0,216.29,5390542
2015-02-11,212.21,214.74,207.28,212.8,9769102
2015-02-12,193.57,203.09,193.28,202.88,15649607
2015-02-13,202.9,205.99,200.91,203.77,6191003
2015-02-17,205.7,205.7,201.5,204.35,3979647
2015-02-18,204.17,206.17,202.6,204.46,2713598
2015-02-19,205.0,212.44,203.75,211.7,5154148
2015-02-20,210.78,217.6,209.81,217.11,5982089
2015-02-23,215.66,218.2,206.33,207.34,8499775
2015-02-24,207.29,207.29,201.7,204.11,6603560
2015-02-25,204.94,207.14,202.58,203.76,3909520
2015-02-26,204.0,211.09,202.22,207.19,6472855
2015-02-27,206.9,208.55,202.8,203.34,3882084
2015-03-02,202.7,203.34,195.82,197.32,7922065
2015-03-03,196.81,200.24,195.32,199.56,4432329
2015-03-04,199.25,202.52,197.21,202.44,4221962
2015-03-05,202.85,206.19,200.15,200.63,4877015
2015-03-06,199.21,200.75,192.15,193.88,6712438
2015-03-09,194.39,194.49,188.25,190.88,6736724
2015-03-10,188.46,193.5,187.6,190.32,5579691
2015-03-11,191.15,196.18,191.01,193.74,4974871
2015-03-12,193.75,194.45,189.75,191.07,4149294
2015-03-13,188.95,191.75,187.32,188.68,5434298
2015-03-16,192.0,195.91,189.8,195.7,5628783
2015-03-17,195.43,198.71,193.94,194.73,4894052
2015-03-18,194.96,200.88,193.11,200.71,4820936
2015-03-19,202.0,204.59,194.53,195.65,8475244
2015-03-20,197.45,198.99,195.62,198.08,4269467
2015-03-23,198.5,200.5,197.47,199.63,2631626
2015-03-24,201.58,203.79,199.75,201.72,3649860
2015-03-25,198.27,198.59,192.7,194.3,5730389
2015-03-26,193.92,194.79,189.7,190.4,4127956
2015-03-27,189.07,189.29,181.4,185.0,8604947
2015-03-30,185.85,192.25,181.8,190.57,10089516
2015-03-31,193.53,193.76,188.41,188.77,5026569
2015-04-01,188.7,192.3,186.05,187.59,3794621
2015-04-02,190.23,193.23,190.0,191.0,5010368
2015-04-06,198.0,207.75,197.5,203.1,12455811
2015-04-07,202.51,205.06,201.14,203.25,4347864
2015-04-08,208.2,210.9,205.87,207.67,6303117
2015-04-09,208.43,210.37,206.12,210.09,3800225
2015-04-10,209.85,211.65,209.0,210.9,4067676
2015-04-13,210.44,213.0,209.05,209.78,3758230
2015-04-14,208.57,209.49,205.5,207.46,3025963
2015-04-15,207.46,209.59,206.6,207.83,1952378
2015-04-16,207.7,209.17,206.29,206.7,1659059
2015-04-17,204.99,206.88,203.5,206.79,2469926
2015-04-20,206.78,207.85,203.85,205.27,2559251
2015-04-21,205.8,210.75,204.31,209.41,3432541
2015-04-22,212.5,221.88,211.69,219.44,7863037
2015-04-23,218.27,221.48,217.15,218.6,4411184
2015-04-24,220.5,220.8,218.01,218.42,2427843
2015-04-27,222.56,238.75,222.0,231.55,11672627
2015-04-28,234.75,235.5,228.03,230.48,6085379
2015-04-29,230.05,234.97,227.63,232.45,3936077
2015-04-30,230.39,232.89,225.17,226.05,3911857
2015-05-01,229.94,231.77,220.4,226.03,5281689
2015-05-04,228.18,234.73,227.11,230.51,4434596
2015-05-05,237.76,239.5,229.13,232.95,5796873
2015-05-06,234.1,234.47,228.2,230.43,5270933
2015-05-07,221.0,237.48,220.25,236.8,9455909
2015-05-08,235.99,238.41,233.7,236.61,4668236
2015-05-11,236.29,242.88,235.31,239.49,5672262
2015-05-12,240.11,246.35,238.19,244.74,6363429
2015-05-13,247.61,248.3,242.25,243.18,5440165
2015-05-14,244.82,244.89,241.25,244.1,2895936
2015-05-15,243.93,249.4,242.5,248.84,4527563
2015-05-18,247.0,249.9,246.0,248.75,3353212
2015-05-19,248.43,251.0,246.15,247.14,3674231
2015-05-20,247.13,247.74,241.37,244.35,3755569
2015-05-21,243.03,246.62,242.36,245.62,1970643
2015-05-22,245.38,248.6,245.01,247.73,2223089
2015-05-26,247.68,252.0,246.5,247.46,3498682
2015-05-27,248.51,249.5,245.55,247.43,3408200
2015-05-28,247.03,251.8,245.05,251.45,3647283
2015-05-29,251.0,252.87,249.43,250.8,3789283
2015-06-01,251.41,251.6,247.47,249.45,2505057
2015-06-02,248.92,249.4,246.3,248.35,2134809
2015-06-03,248.2,250.72,247.01,248.99,1781505
2015-06-04,247.5,249.3,245.71,245.92,2453615
2015-06-05,246.0,249.7,245.68,249.14,3022026
2015-06-08,250.85,258.75,250.31,256.29,5016997
2015-06-09,255.4,257.74,254.14,256.0,2611146
2015-06-10,251.9,254.0,248.5,250.7,3454453
2015-06-11,253.26,254.37,250.43,251.41,2044058
2015-06-12,250.21,253.46,250.21,250.69,1422335
2015-06-15,249.7,251.28,246.01,250.38,2186175
2015-06-16,250.13,253.44,249.1,253.12,1984678
2015-06-17,252.17,264.36,252.02,260.41,5512920
2015-06-18,262.0,263.46,260.02,261.89,2782703
2015-06-19,262.4,263.8,260.1,262.51,2463013
2015-06-22,262.15,264.4,255.69,259.79,4561079
2015-06-23,260.32,268.0,258.57,267.67,3870818
2015-06-24,266.98,267.35,263.72,265.17,2412293
2015-06-25,266.45,271.41,265.25,268.79,2849204
2015-06-26,268.89,269.11,266.0,267.09,3838434
2015-06-29,261.95,265.95,260.7,262.02,3478909
2015-06-30,264.8,270.92,264.0,268.26,3086935
2015-07-01,271.11,272.62,267.85,269.15,2101224
2015-07-02,280.2,282.45,273.31,280.02,7163930
2015-07-06,278.88,281.69,276.3,279.72,4121933
2015-07-07,275.0,275.2,260.77,267.88,6105126
2015-07-08,259.32,260.8,254.31,254.96,6221077
2015-07-09,259.08,262.95,256.79,257.92,3334077
2015-07-10,262.22,263.0,257.82,259.15,2610858
2015-07-13,262.25,262.55,256.05,262.16,2960319
2015-07-14,262.1,265.99,260.51,265.65,1907641
2015-07-15,266.74,267.49,262.08,263.14,2021621
2015-07-16,264.22,267.2,263.16,266.68,1615961
2015-07-17,272.5,275.54,268.25,274.66,5004099
2015-07-20,275.0,286.65,272.54,282.26,4978454
2015-07-21,270.05,273.5,266.55,266.77,6108686
2015-07-22,261.27,269.44,260.86,267.87,3104960
2015-07-23,269.65,269.9,265.27,267.2,2227239
2015-07-24,267.38,271.09,263.92,265.41,2836498
2015-07-27,262.43,264.43,250.79,253.01,4694192
2015-07-28,255.75,265.4,251.84,264.82,3895808
2015-07-29,264.27,267.89,262.0,263.82,2790095
2015-07-30,262.69,266.94,262.11,266.79,2034560
2015-07-31,267.6,269.36,265.12,266.15,2222552
2015-08-03,266.29,266.71,257.07,259.99,2553474
2015-08-04,260.01,266.72,258.34,266.28,2352530
2015-08-05,263.58,271.0,260.4,270.13,6214319
2015-08-06,249.54,255.0,236.12,246.13,14623754
2015-08-07,243.58,243.73,238.39,242.51,5073390
2015-08-10,238.15,242.97,236.05,241.14,4185860
2015-08-11,237.15,239.3,234.44,237.37,4264939
2015-08-12,235.0,239.77,232.74,238.17,3739157
2015-08-13,239.86,246.48,239.12,242.51,4689182
2015-08-14,247.24,247.93,241.77,243.15,4364810
2015-08-17,255.56,256.59,250.51,254.99,7176690
2015-08-18,255.38,260.95,253.56,260.72,4195035
2015-08-19,260.33,260.65,255.02,255.25,3604282
2015-08-20,252.06,254.56,241.9,242.18,4887192
2015-08-21,236.0,243.8,230.51,230.77,6564012
2015-08-24,202.79,231.4,195.0,218.87,9565541
2015-08-25,230.52,230.9,219.12,220.03,4304953
2015-08-26,227.93,228.0,215.51,224.84,4948119
2015-08-27,231.0,244.75,230.81,242.99,7642840
2015-08-28,241.86,251.45,241.57,248.48,5495169
2015-08-31,245.62,254.95,245.51,249.06,4680798
2015-09-01,240.34,246.0,236.97,238.63,5437046
2015-09-02,245.3,247.88,239.78,247.69,4584918
2015-09-03,252.06,252.08,245.0,245.57,4131503
2015-09-04,240.89,244.09,238.2,241.93,3682146
2015-09-08,245.05,249.16,244.05,248.17,3120348
2015-09-09,252.05,254.25,248.3,248.91,3384661
2015-09-10,247.23,250.72,245.33,248.48,2705437
2015-09-11,247.64,250.24,244.73,250.24,2342654
2015-09-14,251.1,254.25,249.67,253.19,2883100
2015-09-15,252.75,254.6,249.5,253.57,2929278
2015-09-16,253.04,262.88,252.88,262.25,4404454
2015-09-17,263.96,265.5,260.69,262.07,3574923
2015-09-18,257.96,263.82,257.5,260.62,3739826
2015-09-21,263.98,271.57,255.8,264.2,6110390
2015-09-22,259.03,262.65,255.87,260.94,3657582
2015-09-23,261.95,262.08,257.58,261.06,2594257
2015-09-24,259.53,263.45,256.21,263.12,3442247
2015-09-25,266.61,266.91,256.15,256.91,3767096
2015-09-28,257.35,259.79,246.61,248.43,4892501
2015-09-29,250.46,254.73,245.46,246.65,3693383
2015-09-30,252.0,252.4,242.34,248.4,4923331
2015-10-01,247.51,248.5,237.13,239.88,4566941
2015-10-02,235.6,247.7,234.93,247.57,4390140
2015-10-05,248.84,249.84,244.13,246.15,3678195
2015-10-06,240.0,243.03,235.58,241.46,5225174
2015-10-07,236.63,237.7,229.12,231.96,6803172
2015-10-08,230.08,230.72,221.31,226.72,6119688
2015-10-09,220.93,224.37,218.36,220.69,6150458
2015-10-12,222.99,223.0,215.27,215.58,3803779
2015-10-13,213.28,222.52,211.13,219.25,5162453
2015-10-14,220.67,220.95,215.43,216.88,3086784
2015-10-15,216.43,221.73,213.7,221.31,2833931
2015-10-16,223.04,230.48,222.87,227.01,4320797
2015-10-19,226.5,231.15,224.94,228.1,2499326
2015-10-20,227.72,228.6,202.0,213.03,14863266
2015-10-21,211.99,214.81,208.8,210.09,4151463
2015-10-22,211.56,215.75,209.4,211.72,2809155
2015-10-23,215.0,215.35,207.69,209.09,4142080
2015-10-26,211.38,215.88,210.0,215.26,3387107
2015-10-27,214.84,217.1,207.51,210.35,3500711
2015-10-28,211.31,213.45,208.3,212.96,2672551
2015-10-29,211.75,213.75,210.64,211.63,1782358
2015-10-30,210.4,211.63,203.89,206.93,4372936
2015-11-02,208.92,215.8,207.22,213.79,3919308
2015-11-03,210.0,214.44,207.75,208.35,7141113
2015-11-04,230.68,232.74,225.2,231.63,12706650
2015-11-05,230.58,234.58,229.19,231.77,4493263
2015-11-06,230.7,233.36,229.5,232.36,2443465
2015-11-09,232.99,232.99,224.31,225.33,3843824
2015-11-10,223.48,223.7,216.08,216.5,4568414
2015-11-11,217.77,219.48,213.63,219.08,3334955
2015-11-12,217.85,219.0,212.66,212.94,2910023
2015-11-13,212.95,212.99,206.52,207.19,3412083
2015-11-16,206.09,214.98,205.8,214.31,2917082
2015-11-17,215.2,216.0,211.4,214.0,2143269
2015-11-18,214.5,221.38,212.52,221.07,2805192
2015-11-19,220.54,226.19,220.3,221.8,2499363
2015-11-20,223.49,225.0,213.58,220.01,4388932
2015-11-23,217.35,219.18,214.68,217.75,2524994
2015-11-24,215.37,221.0,215.0,218.25,2452304
2015-11-25,221.34,230.82,220.38,229.64,3990779
2015-11-27,231.06,232.25,227.01,231.61,1949127
2015-11-30,231.79,234.28,229.08,230.26,2585753
2015-12-01,231.06,238.0,231.05,237.19,3728287
2015-12-02,237.0,238.6,231.23,231.99,2975721
2015-12-03,235.48,237.45,230.0,232.71,2939564
2015-12-04,232.46,233.27,227.66,230.38,2573603
2015-12-07,227.7,235.63,226.15,231.13,3144223
2015-12-08,227.52,228.8,224.2,226.72,2687636
2015-12-09,226.7,227.5,220.72,224.52,3057753
2015-12-10,224.71,228.49,223.64,227.07,2071692
2015-12-11,225.24,225.75,216.64,217.02,3268726
2015-12-14,217.51,220.92,214.87,218.58,2827068
2015-12-15,221.82,222.22,218.0,221.09,2244424
2015-12-16,222.1,234.88,220.73,234.51,5104341
2015-12-17,233.94,237.76,229.81,233.39,3298638
2015-12-18,232.89,235.9,229.29,230.46,3014170
2015-12-21,231.69,235.83,231.08,232.56,1953174
2015-12-22,234.99,236.55,229.63,229.95,1961495
2015-12-23,232.18,233.45,228.13,229.7,1554979
2015-12-24,230.56,231.88,228.28,230.57,710277
2015-12-28,231.49,231.98,225.54,228.95,1901304
2015-12-29,230.06,237.72,229.55,237.19,2406290
2015-12-30,236.6,243.63,235.67,238.09,3697921
2015-12-31,238.51,243.45,238.37,240.01,2715038
2016-01-04,230.72,231.38,219.0,223.41,6819737
2016-01-05,226.36,226.89,220.0,223.43,3186752
2016-01-06,220.0,220.05,215.98,219.04,3779128
2016-01-07,214.19,218.44,213.67,215.65,3554251
2016-01-08,217.86,220.44,210.77,211.0,3628058
2016-01-11,214.01,214.45,203.0,207.85,4091422
2016-01-12,211.6,213.74,205.31,209.97,3091917
2016-01-13,212.01,212.65,200.0,200.31,4039093
2016-01-14,202.21,210.0,193.38,206.18,6452623
2016-01-15,198.97,205.07,197.25,204.99,5322235
2016-01-19,208.71,210.47,200.78,204.72,3997509
2016-01-20,199.4,201.28,191.25,198.7,5825431
2016-01-21,201.55,203.23,195.02,199.97,3163432
